"review_id","recipe_id","user_id","rating","review_text","review_date"
1,1,1,5,"Delicious and authentic flavor!","2024-11-05 00:13:35.52342"
2,2,2,4,"Quick and tasty.","2024-11-05 00:13:35.52342"
3,3,3,5,"Loved the creamy texture!","2024-11-05 00:13:35.52342"
4,4,4,5,"Perfect balance of spices.","2024-11-05 00:13:35.52342"
12,11,1,5,"Delicious and fresh!","2024-11-05 20:10:02.412866"
13,12,2,4,"Simple and tasty.","2024-11-05 20:10:02.412866"
14,13,3,5,"Great with chips!","2024-11-05 20:10:02.412866"
15,14,4,3,"Good but needed more seasoning.","2024-11-05 20:10:02.412866"
16,15,1,4,"Soft and fluffy naan.","2024-11-05 20:10:02.412866"
17,16,2,5,"Perfect blend of spices.","2024-11-05 20:10:02.412866"
18,16,3,3,"A bit too creamy but good.","2024-11-05 20:10:02.412866"
